Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5283728,6216205,7309728,7472819,7641630,7815949,7995062,8177809,8362745,8548651,8734951,8921343
"Population, total",SP.POP.TOTL,Tanzania,TZA,25459604,34178042,43270144,44664231,46098591,47570902,49082997,50636595,52234869,53879957,55572201,57310019
"Population, total",SP.POP.TOTL,Thailand,THA,56582821,62958021,66545760,66881867,67208808,67530130,67843979,68143065,68416772,68657600,68863514,69037513
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,751933,871607,1078110,1092021,1109591,1131523,1156760,1184366,1212814,1240977,1268671,1296311
"Population, total",SP.POP.TOTL,Togo,TGO,3786940,4970367,6161796,6330472,6502952,6679282,6859482,7042948,7228915,7416802,7606374,7797694
"Population, total",SP.POP.TOTL,Tonga,TON,95153,98082,103005,103604,104137,104577,104951,105328,105782,106364,107122,108020
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1221900,1267984,1315372,1321618,1328100,1334788,1341588,1348248,1354493,1360092,1364962,1369125
"Population, total",SP.POP.TOTL,Tunisia,TUN,8232797,9699197,10407336,10521834,10639931,10761467,10886668,11014558,11143908,11273661,11403248,11532127
"Population, total",SP.POP.TOTL,Turkey,TUR,53921699,63240121,70440032,71339185,72326914,73409455,74569867,75787333,77030628,78271472,79512426,80745020
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3683966,4516131,4935762,5007950,5087210,5174061,5267839,5366277,5466241,5565284,5662544,5758075
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,11552,18873,29481,30245,30994,31731,32431,33108,33739,34339,34900,35446
"Population, total",SP.POP.TOTL,Tuvalu,TUV,9003,9420,10340,10441,10531,10628,10725,10819,10908,11001,11097,11192
"Population, total",SP.POP.TOTL,Uganda,UGA,17438907,24039274,31663896,32771895,33915133,35093648,36306796,37553726,38833338,40144870,41487965,42862958
"Population, total",SP.POP.TOTL,Ukraine,UKR,51892000,49175848,46258200,46053300,45870700,45706100,45593300,45489600,45271947,45154029,45004645,44831159
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,1860174,3154925,6894278,7666393,8270684,8672475,8900453,9006263,9070867,9154302,9269612,9400145
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,58892514,61806995,62276270,62766365,63258918,63700300,64128226,64613160,65128861,65595565,66022273
"Population, total",SP.POP.TOTL,United States,USA,249623000,282162411,304093966,306771529,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178
"Population, total",SP.POP.TOTL,Uruguay,URY,3109989,3321245,3350824,3362755,3374415,3385624,3396777,3408005,3419546,3431552,3444006,3456750
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20510000,24650400,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31847900,32387200
"Population, total",SP.POP.TOTL,Vanuatu,VUT,146634,185063,225340,230785,236295,241871,247485,253142,258850,264603,270402,276244
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,19861956,24488340,28141701,28587323,29028033,29463291,29893080,30317848,30738378,31155134,31568179,31977065
"Population, total",SP.POP.TOTL,Vietnam,VNM,68209605,80285562,86707801,87565407,88472512,89436644,90451881,91497725,92544915,93571567,94569072,95540800
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,103963,108642,108399,108405,108358,108292,108191,108044,107884,107710,107510,107268
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,1978248,2922153,3596688,3702218,3811102,3927051,4046901,4169506,4294682,4422143,4551566,4684777
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,12057039,17874725,22356391,22974929,23606779,24252206,24909969,25576322,26246327,26916207,27584213,28250420
"Population, total",SP.POP.TOTL,Zambia,ZMB,8027253,10531221,13082517,13456417,13850033,14264756,14699937,15153210,15620974,16100587,16591390,17094130
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,10183113,12222251,13558469,13810599,14086317,14386649,14710826,15054506,15411675,15777451,16150362,16529904
"Population, total",SP.POP.TOTL,Arab World,ARB,224735446,283832016,339825483,348145094,356508908,364895878,373306993,381702086,390043028,398304960,406452690,414491886
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,6021614,6530691,6895315,6939534,6984096,7029022,7074129,7118888,7162679,7204948,7245472,7284294
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,110745760,108405522,105126686,104924372,104543801,104174038,103935318,103713726,103496179,103257751,102994343,102727102
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,2031828081,2474600589,2821797496,2865439651,2909410986,2953406021,2997066325,3040700765,3084236443,3127578757,3170657660,3213426923
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,1821481246,2047150745,2177421759,2192352319,2207154641,2221934584,2237082761,2252311022,2267745366,2283108073,2298726779,2314364990
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,1604526529,1815956211,1938363936,1952308448,1966231608,1980303926,1994651365,2009173000,2023837097,2038410865,2053299126,2068308373
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,1584201525,1792988790,1913991988,1927809542,1941604842,1955546907,1969762859,1984152637,1998686391,2013132699,2027896410,2042783496
"Population, total",SP.POP.TOTL,Euro area,EMU,311539698,321310787,334274730,335360887,336151474,335429120,336180504,337325526,338466271,339533474,340617355,341465149
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,842848473,862304086,881965815,885591814,889016507,891098854,894679968,898881448,903123160,907426233,911686319,915545801
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,385427446,392657969,395304586,397043992,399053204,401241932,403439691,405871230,408271623,410770813,413234935,415546194
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,428318228,435342598,437864853,439624673,441513779,443585809,445770413,448167115,450521747,452960829,455379371,457647735
"Population, total",SP.POP.TOTL,European Union,EUU,478005307,488178832,501808477,503317964,504421126,504015371,505117542,506621110,508193872,509717579,511218960,512461290
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,259301889,337602457,412832401,423028631,433388814,443918286,454618893,465515402,476608101,487923553,499508468,511336623
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,355762200,474935556,595849807,612731524,630127436,648053253,666488623,685401960,704745420,724482652,744602976,765112280
"Population, total",SP.POP.TOTL,High income,HIC,1037334467,1115010208,1181962982,1190790909,1198787232,1204631343,1212058100,1219556921,1227211897,1234714041,1242137612,1249066228
"Population, total",SP.POP.TOTL,IBRD only,IBD,3471574806,3986056196,4341646260,4385943475,4430022932,4474450995,4519551913,4564885065,4610015643,4654714482,4699231955,4743263932
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,4313726002,5072466718,5653072135,5727963757,5803571023,5880131377,5957668177,6036113018,6114993204,6194062653,6273584648,6353204601
"Population, total",SP.POP.TOTL,IDA blend,IDB,282899816,361050467,432032769,442179341,452947421,463997812,474993526,486261860,497751634,509396383,521159047,533023458
"Population, total",SP.POP.TOTL,IDA only,IDX,559251380,725360055,879393106,899840941,920600670,941682570,963122738,984966093,1007225927,1029951788,1053193646,1076917211
"Population, total",SP.POP.TOTL,IDA total,IDA,842151196,1086410522,1311425875,1342020282,1373548091,1405680382,1438116264,1471227953,1504977561,1539348171,1574352693,1609940669
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,1851248918,2047187331,2156164379,2169773889,2182871640,2196130364,2209708504,2223457388,2237241890,2250812795,2264568981,2278227192
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,445044474,524829251,582179826,589349327,596478519,603537118,610547919,617495658,624335544,631062657,637663890,644137666
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,387713894,459908706,511896377,518406797,524870761,531283625,537645733,543940758,550149862,556257851,562254848,568136842
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,430014112,508826710,565956228,573125269,580246796,587315129,594330743,601277206,608136047,614891969,621534921,628059792
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,510827576,664804763,809730997,828953320,848791962,869298106,890423474,912093996,934192321,956631108,979387925,1002485957
"Population, total",SP.POP.TOTL,Low & middle income,LMY,4250768747,5006672528,5584333697,5658778430,5734082511,5810352625,5887499549,5965580605,6044110924,6122845409,6202019744,6281293921
"Population, total",SP.POP.TOTL,Low income,LIC,352473181,465631330,580229110,596172925,612274687,628504663,644901894,661550623,678572076,696058453,714022293,732448558
"Population, total",SP.POP.TOTL,Lower middle income,LMC,1881674731,2280235216,2599821177,2640211692,2681264749,2722672277,2764105969,2805845772,2847559084,2889349899,2931075528,2972642807
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,255989130,317129227,371999662,380192587,388376106,396573248,404783020,412953000,421030035,428974903,436738031,444322417
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,227903820,280955290,323531149,329488935,335581557,341822043,348195697,354641044,361077997,367449306,373719055,379901782
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,225925572,278033137,319934461,325786717,331770455,337894992,344148796,350471538,356783315,363027163,369167489,375217005
"Population, total",SP.POP.TOTL,Middle income,MIC,3898295566,4541041198,5004104587,5062605505,5121807824,5181847962,5242597655,5304029982,5365538848,5426786956,5487997451,5548845363
"Population, total",SP.POP.TOTL,North America,NAC,277473326,312993944,337405012,340465736,343408819,346051624,348808615,351451876,354223012,356937591,359735880,362492702
"Population, total",SP.POP.TOTL,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,OECD members,OED,1072793105,1160068208,1228624922,1237366149,1245479028,1251781641,1259608786,1267734036,1276165062,1284497900,1292855641,1300865255
"Population, total",SP.POP.TOTL,Other small states,OSS,17470899,20939372,24955735,25615419,26267053,26900149,27529595,28153079,28774019,29396503,30012500,30621014
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,1694408,1964216,2155339,2184837,2214096,2242763,2271298,2300045,2329458,2358955,2388875,2419188
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,964601905,1020591853,1064603304,1070107590,1075131208,1078064180,1082727404,1087610209,1092678876,1097735849,1102778565,1107374909
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,417158756,554097477,697549138,717959651,739082260,760942116,783505835,806705375,830442736,854646007,879292453,904399841
"Population, total",SP.POP.TOTL,Small states,SST,25186921,29434279,34006389,34739790,35465245,36171934,36875022,37572012,38266156,38960406,39646847,40324496
"Population, total",SP.POP.TOTL,South Asia,SAS,1133089464,1386625845,1584359049,1607663899,1630806784,1653798614,1676615491,1699310450,1721847786,1744199944,1766393714,1788388852
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1133089464,1386625845,1584359049,1607663899,1630806784,1653798614,1676615491,1699310450,1721847786,1744199944,1766393714,1788388852
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,512177101,670649638,830965556,853953657,877628367,901989926,927039875,952734072,979017918,1005850049,1033212743,1061107721
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,512107594,670568507,830878600,853866359,877538597,901902485,926951572,952644123,978926559,1005756630,1033118066,1061011878
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,512177101,670649638,830965556,853953657,877628367,901989926,927039875,952734072,979017918,1005850049,1033212743,1061107721
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2016620835,2260805982,2404283410,2422393813,2440543075,2459175685,2478491686,2498184210,2517979764,2537437057,2556921923,2576202556
"Population, total",SP.POP.TOTL,World,WLD,5288103214,6121682736,6766296679,6849569339,6932869743,7014983968,7099557649,7185137526,7271322821,7357559450,7444157356,7530360149
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 11/14/2018,,,,,,,,,,,,,,,
